Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
013 RLC;Enlarge;MAL201371228E3;2.2;50.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201353471E3;470.0;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201336229E3;22.0;25.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201333471E3;470.0;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201376229E3;22.0;25.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201363471E3;470.0;6.3;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201356229E3;22.0;25.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201374689E3;68.0;10.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201371229E3;22.0;50.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201354689E3;68.0;10.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201351229E3;22.0;50.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
013 RLC;Enlarge;MAL201334689E3;68.0;10.0;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28313.png;Datasheet\capacitors\013 RLC\013 RLC.pdf;
