Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
050/052 PED-PW;Enlarge;MAL205058222E3;2200.0;63.0;Solder Pin;Ø30x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205015333E3;33000.0;16.0;Solder Pin;Ø40x70;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205054473E3;47000.0;10.0;Solder Pin;Ø40x70;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205253151E3;150.0;250.0;Solder Pin;Ø25x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205018222E3;2200.0;63.0;Solder Pin;Ø30x40;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205055333E3;33000.0;16.0;Solder Pin;Ø40x70;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205055473E3;47000.0;16.0;Solder Pin;Ø40x100;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205258151E3;150.0;385.0;Solder Pin;Ø35x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205054223E3;22000.0;10.0;Solder Pin;Ø35x50;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205056333E3;33000.0;25.0;Solder Pin;Ø40x100;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205015473E3;47000.0;16.0;Solder Pin;Ø40x100;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205256151E3;150.0;400.0;Solder Pin;Ø35x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205014223E3;22000.0;10.0;Solder Pin;Ø35x50;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205016333E3;33000.0;25.0;Solder Pin;Ø40x100;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205258689E3;68.0;385.0;Solder Pin;Ø25x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205019152E3;1500.0;100.0;Solder Pin;Ø35x40;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205044223E3;22000.0;10.0;Solder Pin;Ø40x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205258479E3;47.0;385.0;Solder Pin;Ø25x30;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205256689E3;68.0;400.0;Solder Pin;Ø25x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205059152E3;1500.0;100.0;Solder Pin;Ø35x40;+85 °C;15000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
050/052 PED-PW;Enlarge;MAL205015223E3;22000.0;16.0;Solder Pin;Ø40x50;+85 °C;15000;"""Large Can, Solder Lug, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28345.png;Datasheet\capacitors\050/052 PED-PW\050/052 PED-PW.pdf;
