Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
058/059 PLL-SI;Enlarge;MAL205973221E3;220.0;250.0;Snap-In;Ø30x30;+105 °C;10000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205879471E3;470.0;100.0;Snap-In;Ø22x30;+105 °C;10000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205847103E3;10000.0;40.0;Snap-In;Ø30x50;+105 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205976479E3;47.0;400.0;Snap-In;Ø22x30;+105 °C;10000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205859681E3;680.0;100.0;Snap-In;Ø25x30;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205826153E3;15000.0;25.0;Snap-In;Ø30x50;+105 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205946101E3;100.0;400.0;Snap-In;Ø25x40;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205859331E3;330.0;100.0;Snap-In;Ø22x25;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205948221E3;220.0;385.0;Snap-In;Ø30x50;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205854472E3;4700.0;10.0;Snap-In;Ø22x25;+105 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205877103E3;10000.0;40.0;Snap-In;Ø35x40;+105 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205942471E3;470.0;200.0;Snap-In;Ø25x50;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205858681E3;680.0;63.0;Snap-In;Ø22x25;+105 °C;10000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205876153E3;15000.0;25.0;Snap-In;Ø35x40;+105 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
058/059 PLL-SI;Enlarge;MAL205976101E3;100.0;400.0;Snap-In;Ø30x30;+105 °C;10000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28342.png;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.pdf;Datasheet\capacitors\058/059 PLL-SI\058/059 PLL-SI.zip
