Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
093 PMG-SI;Enlarge;MAL209347181E3;180.0;450.0;Snap-In;Ø25x30;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209343391E3;390.0;250.0;Snap-In;Ø25x30;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209357829E3;82.0;450.0;Snap-In;Ø22x25;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209337181E3;180.0;450.0;Snap-In;Ø30x25;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209346391E3;390.0;400.0;Snap-In;Ø25x50;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209342821E3;820.0;200.0;Snap-In;Ø25x40;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209332182E3;1800.0;200.0;Snap-In;Ø30x50;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209336391E3;390.0;400.0;Snap-In;Ø30x35;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209333821E3;820.0;250.0;Snap-In;Ø30x35;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
093 PMG-SI;Enlarge;MAL209326821E3;820.0;400.0;Snap-In;Ø35x50;+85 °C;2000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28383.png;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.pdf;Datasheet\capacitors\093 PMG-SI\093 PMG-SI.zip
