Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
096 PLL-4TSI;Enlarge;MAL209628182E3;1800.0;385.0;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209628681E3;680.0;385.0;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209624102E3;1000.0;420.0;Snap-In;Ø40x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209666821E3;820.0;400.0;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209637122E3;1200.0;450.0;Snap-In;Ø45x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209638182E3;1800.0;385.0;Snap-In;Ø45x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209616681E3;680.0;400.0;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209617102E3;1000.0;450.0;Snap-In;Ø35x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209676821E3;820.0;400.0;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209639122E3;1200.0;500.0;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209676182E3;1800.0;400.0;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209666681E3;680.0;400.0;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209667102E3;1000.0;450.0;Snap-In;Ø35x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209626821E3;820.0;400.0;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209615152E3;1500.0;350.0;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209665152E3;1500.0;350.0;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209626182E3;1800.0;400.0;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209676681E3;680.0;400.0;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209627102E3;1000.0;450.0;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
096 PLL-4TSI;Enlarge;MAL209664821E3;820.0;420.0;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28392.png;Datasheet\capacitors\096 PLL-4TSI\096 PLL-4TSI.pdf;
