Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
106 PED-ST;Enlarge;MAL210657683E3;68000.0;40.0;Screw-Terminal;Ø76x105;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210659222E3;2200.0;100.0;Screw-Terminal;Ø35x80;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210657332E3;3300.0;40.0;Screw-Terminal;Ø35x60;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210618472E3;4700.0;63.0;Screw-Terminal;Ø35x80;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210617104E3;100000.0;40.0;Screw-Terminal;Ø76x146;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210677683E3;68000.0;40.0;Screw-Terminal;Ø76x105;+85 °C;20000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210618222E3;2200.0;63.0;Screw-Terminal;Ø35x60;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210658332E3;3300.0;63.0;Screw-Terminal;Ø35x60;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210679473E3;47000.0;100.0;Screw-Terminal;Ø76x220;+85 °C;20000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210677104E3;100000.0;40.0;Screw-Terminal;Ø76x146;+85 °C;20000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
106 PED-ST;Enlarge;MAL210617683E3;68000.0;40.0;Screw-Terminal;Ø76x105;+85 °C;20000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28384.png;Datasheet\capacitors\106 PED-ST\106 PED-ST.pdf;Datasheet\capacitors\106 PED-ST\106 PED-ST.zip
