Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
110 PHT-ST;Enlarge;MAL211045602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211056602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211066602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211046602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211086602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211036602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211016602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211076602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211026602E3;6000.0;400.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211077602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211033602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211063602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211083602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211053602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211073602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211043602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211023602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211013602E3;6000.0;250.0;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211057602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211060602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211087602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211080602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211027602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211070602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211037602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211030602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211047602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211020602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211017602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211050602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211067602E3;6000.0;450.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211040602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211010602E3;6000.0;300.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211075602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211015602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211035602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211055602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211065602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm M6 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211085602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 18 mm 1/4-28 UNF High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
110 PHT-ST;Enlarge;MAL211025602E3;6000.0;350.0;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M5 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28411.png;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.pdf;Datasheet\capacitors\110 PHT-ST\110 PHT-ST.zip
