Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
116 RLL;Enlarge;MAL211635689E3;68.0;16.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211631159E3;15.0;50.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211670339E3;33.0;35.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211661689E3;68.0;50.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211651159E3;15.0;50.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211630339E3;33.0;35.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211651689E3;68.0;50.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211656151E3;150.0;25.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211650339E3;33.0;35.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211631689E3;68.0;50.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211666151E3;150.0;25.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211677339E3;33.0;40.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211636151E3;150.0;25.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211657339E3;33.0;40.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211653151E3;150.0;6.3;Radial;Ø5x11;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211637339E3;33.0;40.0;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211633151E3;150.0;6.3;Radial;Ø5x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
116 RLL;Enlarge;MAL211631339E3;33.0;50.0;Radial;Ø8.2x11;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28316.png;Datasheet\capacitors\116 RLL\116 RLL.pdf;
