Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
125 ALS;Enlarge;MAL212527829E3;82.0;40.0;Axial;Ø6.5x18;+105 °C;2000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212527102E3;1000.0;40.0;Axial;Ø15x30;+105 °C;10000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212538181E3;180.0;63.0;Axial;Ø10x25;+105 °C;2000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212525332E3;3300.0;16.0;Axial;Ø15x30;+105 °C;10000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212537829E3;82.0;40.0;Axial;Ø6.5x18;+105 °C;2000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212547102E3;1000.0;40.0;Axial;Ø15x30;+105 °C;10000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212528181E3;180.0;63.0;Axial;Ø10x25;+105 °C;2000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212545332E3;3300.0;16.0;Axial;Ø15x30;+105 °C;10000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212534821E3;820.0;10.0;Axial;Ø8x18;+105 °C;2000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212518102E3;1000.0;63.0;Axial;Ø18x30;+105 °C;10000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212525182E3;1800.0;16.0;Axial;Ø10x30;+105 °C;10000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212517332E3;3300.0;40.0;Axial;Ø21x38;+105 °C;10000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212524821E3;820.0;10.0;Axial;Ø8x18;+105 °C;2000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212548102E3;1000.0;63.0;Axial;Ø18x30;+105 °C;10000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212515182E3;1800.0;16.0;Axial;Ø10x30;+105 °C;10000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212547332E3;3300.0;40.0;Axial;Ø21x38;+105 °C;10000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212526821E3;820.0;25.0;Axial;Ø10x25;+105 °C;2000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212515103E3;10000.0;16.0;Axial;Ø18x38;+105 °C;10000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212514183E3;18000.0;10.0;Axial;Ø21x38;+105 °C;10000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212526391E3;390.0;25.0;Axial;Ø10x18;+105 °C;2000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
125 ALS;Enlarge;MAL212536821E3;820.0;25.0;Axial;Ø10x25;+105 °C;2000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28464.png;Datasheet\capacitors\125 ALS\125 ALS.pdf;
