Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
126 ALX;Enlarge;MAL212615472E3;4700.0;16.0;Axial;Ø18x30;+125 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212647821E3;820.0;40.0;Axial;Ø15x30;+125 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212617122E3;1200.0;40.0;Axial;Ø18x30;+125 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212625222E3;2200.0;16.0;Axial;Ø12.5x30;+125 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212645472E3;4700.0;16.0;Axial;Ø18x30;+125 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212615822E3;8200.0;16.0;Axial;Ø21x38;+125 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212647122E3;1200.0;40.0;Axial;Ø18x30;+125 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212636271E3;270.0;25.0;Axial;Ø10x18;+125 °C;8000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212628569E3;56.0;63.0;Axial;Ø8x18;+125 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212645822E3;8200.0;16.0;Axial;Ø21x38;+125 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212618122E3;1200.0;63.0;Axial;Ø21x38;+125 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212626271E3;270.0;25.0;Axial;Ø10x18;+125 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212638569E3;56.0;63.0;Axial;Ø8x18;+125 °C;8000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
126 ALX;Enlarge;MAL212648122E3;1200.0;63.0;Axial;Ø21x38;+125 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28570.png;Datasheet\capacitors\126 ALX\126 ALX.pdf;
