Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
132/133 ALL-DIN;Enlarge;MAL213218331E3;330.0;63.0;Axial;Ø18x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213215471E3;470.0;16.0;Axial;Ø12.5x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213247102E3;1000.0;40.0;Axial;Ø18x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213217681E3;680.0;40.0;Axial;Ø18x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213219221E3;220.0;100.0;Axial;Ø18x38;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213248331E3;330.0;63.0;Axial;Ø18x30;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213225471E3;470.0;16.0;Axial;Ø12.5x30;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213218102E3;1000.0;63.0;Axial;Ø21x38;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213247681E3;680.0;40.0;Axial;Ø18x30;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213249221E3;220.0;100.0;Axial;Ø18x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213214332E3;3300.0;10.0;Axial;Ø18x38;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213216471E3;470.0;25.0;Axial;Ø12.5x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213248102E3;1000.0;63.0;Axial;Ø21x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213218681E3;680.0;63.0;Axial;Ø21x38;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213225221E3;220.0;16.0;Axial;Ø10x18;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213244332E3;3300.0;10.0;Axial;Ø18x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213226471E3;470.0;25.0;Axial;Ø12.5x30;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213219151E3;150.0;100.0;Axial;Ø18x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213248681E3;680.0;63.0;Axial;Ø21x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213235221E3;220.0;16.0;Axial;Ø10x18;+85 °C;15000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213215332E3;3300.0;16.0;Axial;Ø21x38;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213229108E3;1.0;100.0;Axial;Ø6.5x18;+85 °C;10000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213227471E3;470.0;40.0;Axial;Ø15x30;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213249151E3;150.0;100.0;Axial;Ø18x30;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213290503E3;220.0;25.0;Axial;Ø10x25;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213245332E3;3300.0;16.0;Axial;Ø21x38;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213239108E3;1.0;100.0;Axial;Ø6.5x18;+85 °C;10000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213217471E3;470.0;40.0;Axial;Ø15x30;+85 °C;15000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213290512E3;150.0;40.0;Axial;Ø10x25;+85 °C;15000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213290504E3;220.0;25.0;Axial;Ø10x25;+85 °C;15000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213229478E3;4.7;100.0;Axial;Ø6.5x18;+85 °C;10000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213238109E3;10.0;63.0;Axial;Ø6.5x18;+85 °C;10000;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213247471E3;470.0;40.0;Axial;Ø15x30;+85 °C;15000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
132/133 ALL-DIN;Enlarge;MAL213290511E3;150.0;40.0;Axial;Ø10x25;+85 °C;15000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors\28366.png;Datasheet\capacitors\132/133 ALL-DIN\132/133 ALL-DIN.pdf;
