Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
139 CLL;Enlarge;MAL213969108E3;1.0;100.0;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213966109E3;10.0;25.0;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213961109E3;10.0;50.0;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213968109E3;10.0;63.0;SMD;14.3x7.6x8.2;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213965101E3;100.0;16.0;SMD;14.3x7.6x8.2;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213963101E3;100.0;6.3;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213967159E3;15.0;40.0;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213961159E3;15.0;50.0;SMD;14.3x7.6x8.2;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213964151E3;150.0;10.0;SMD;14.3x7.6x8.2;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
139 CLL;Enlarge;MAL213969228E3;2.2;100.0;SMD;14.3x6.2x6.9;+105 °C;2000;"""SMD Horizontal, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28301.png;Datasheet\capacitors\139 CLL\139 CLL.pdf;
