Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
142 CVZ;Enlarge;MAL214297612E3;470.0;25.0;SMD;Ø10x10x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297114E3;220.0;50.0;SMD;Ø12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297308E3;330.0;6.3;SMD;Ø8x8x6.5;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297613E3;680.0;25.0;SMD;Ø12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297115E3;330.0;50.0;SMD;Ø12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297312E3;680.0;6.3;SMD;Ø8x8x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297001E3;4.7;35.0;SMD;Ø4x4x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297801E3;4.7;63.0;SMD;Ø5x5x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297314E3;1000.0;6.3;SMD;Ø8x8x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297002E3;10.0;35.0;SMD;Ø5x5x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297802E3;10.0;63.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297315E3;1500.0;6.3;SMD;Ø10x10x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297003E3;22.0;35.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297803E3;22.0;63.0;SMD;Ø6.3x6.3x7.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297316E3;2200.0;6.3;SMD;Ø12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297004E3;33.0;35.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297804E3;33.0;63.0;SMD;Ø8x8x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297401E3;22.0;10.0;SMD;Ø4x4x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297005E3;47.0;35.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297805E3;47.0;63.0;SMD;Ø8x8x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297402E3;33.0;10.0;SMD;Ø5x5x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297403E3;47.0;10.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297006E3;68.0;35.0;SMD;Ø8x8x6.5;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297806E3;100.0;63.0;SMD;Ø10x10x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297404E3;100.0;10.0;SMD;Ø6.3x6.3x5.7;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297007E3;100.0;35.0;SMD;Ø8x8x10;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
142 CVZ;Enlarge;MAL214297807E3;150.0;63.0;SMD;Ø12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28577.png;Datasheet\capacitors\142 CVZ\142 CVZ.pdf;
