Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
142 RHS;Enlarge;MAL214266471E3;470.0;25.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214250331E3;330.0;35.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214232229E3;22.0;200.0;Radial;Ø10x16;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214251096E3;10.0;400.0;Radial;Ø10x20;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214254682E3;6800.0;10.0;Radial;Ø16x25;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214234783E3;4.7;250.0;Radial;Ø8x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214230221E3;220.0;35.0;Radial;Ø8x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214271101E3;100.0;50.0;Radial;Ø8x12;+105 °C;2500;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214299227E3;22.0;100.0;Radial;Ø6.3x11;+105 °C;2500;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214270479E3;47.0;35.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214268222E3;2200.0;63.0;Radial;Ø18x40;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214254103E3;10000.0;10.0;Radial;Ø16x31;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214272108E3;1.0;200.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214236471E3;470.0;25.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214261331E3;330.0;50.0;Radial;Ø10x16;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214262229E3;22.0;200.0;Radial;Ø10x16;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214261096E3;10.0;400.0;Radial;Ø10x20;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214264682E3;6800.0;10.0;Radial;Ø16x25;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214234785E3;4.7;350.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214250221E3;220.0;35.0;Radial;Ø8x12;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214231101E3;100.0;50.0;Radial;Ø8x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214298223E3;22.0;63.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214230479E3;47.0;35.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214254223E3;22000.0;10.0;Radial;Ø18x40;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214234103E3;10000.0;10.0;Radial;Ø16x31;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214232108E3;1.0;200.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214231083E3;1.0;250.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214250471E3;470.0;35.0;Radial;Ø10x16;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214231331E3;330.0;50.0;Radial;Ø10x16;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214252293E3;22.0;250.0;Radial;Ø10x20;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214231096E3;10.0;400.0;Radial;Ø10x20;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214265682E3;6800.0;16.0;Radial;Ø16x31;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214264785E3;4.7;350.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214231221E3;220.0;50.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214268101E3;100.0;63.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214298225E3;22.0;63.0;Radial;Ø5x11;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214264795E3;47.0;350.0;Radial;Ø16x25;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214264223E3;22000.0;10.0;Radial;Ø18x40;+105 °C;2500;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214255103E3;10000.0;16.0;Radial;Ø18x31;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214234795E3;47.0;350.0;Radial;Ø16x25;+105 °C;2500;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
142 RHS;Enlarge;MAL214259339E3;33.0;100.0;Radial;Ø10x12;+105 °C;2500;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28402.png;Datasheet\capacitors\142 RHS\142 RHS.pdf;
