Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
146 CTI;Enlarge;MAL214699807E3;150.0;63.0;SMD;12.5x12.5x13;+125 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699501E3;330.0;16.0;SMD;10x10x10;+125 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699503E3;680.0;16.0;SMD;12.5x12.5x13;+125 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699707E3;150.0;80.0;SMD;12.5x12.5x16;+125 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699602E3;330.0;25.0;SMD;10x10x12;+125 °C;2000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699604E3;680.0;25.0;SMD;12.5x12.5x16;+125 °C;4000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699505E3;1500.0;16.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699005E3;330.0;35.0;SMD;12.5x12.5x13;+125 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699007E3;680.0;35.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699606E3;1500.0;25.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699107E3;330.0;50.0;SMD;12.5x12.5x16;+125 °C;4000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699109E3;680.0;50.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699011E3;1500.0;35.0;SMD;16x16x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699809E3;330.0;63.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699812E3;680.0;63.0;SMD;18x18x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699012E3;1800.0;35.0;SMD;18x18x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
146 CTI;Enlarge;MAL214699709E3;330.0;80.0;SMD;16x16x21;+125 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28403.png;Datasheet\capacitors\146 CTI\146 CTI.pdf;
