Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
146 RTI;Enlarge;MAL214655472E3;4700.0;16.0;Radial;Ø18x25;+125 °C;5000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214631182E3;1800.0;50.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214651681E3;680.0;50.0;Radial;Ø12.5x25;+125 °C;5000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214696275E3;2700.0;25.0;Radial;Ø16x25;+125 °C;5000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214636332E3;3300.0;25.0;Radial;Ø16x31;+125 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214630122E3;1200.0;35.0;Radial;Ø16x20;+125 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214665472E3;4700.0;16.0;Radial;Ø18x25;+125 °C;5000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214661182E3;1800.0;50.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214661681E3;680.0;50.0;Radial;Ø12.5x25;+125 °C;5000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214696276E3;2700.0;25.0;Radial;Ø16x25;+125 °C;5000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214666332E3;3300.0;25.0;Radial;Ø16x31;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214650122E3;1200.0;35.0;Radial;Ø16x20;+125 °C;4000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
146 RTI;Enlarge;MAL214656472E3;4700.0;25.0;Radial;Ø16x35;+125 °C;6000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28401.png;Datasheet\capacitors\146 RTI\146 RTI.pdf;
