Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
148 RUS;Enlarge;MAL214861471E3;470.0;50.0;Radial;Ø10x20;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214864153E3;15000.0;10.0;Radial;Ø18x35;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214855681E3;680.0;16.0;Radial;Ø10x12;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214896223E3;2200.0;25.0;Radial;Ø16x20;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214869101E3;100.0;100.0;Radial;Ø10x20;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214865332E3;3300.0;16.0;Radial;Ø12.5x25;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214863103E3;10000.0;6.3;Radial;Ø16x25;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214858471E3;470.0;63.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214853153E3;15000.0;6.3;Radial;Ø16x31;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214856681E3;680.0;25.0;Radial;Ø10x16;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214896225E3;2200.0;25.0;Radial;Ø16x20;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214858101E3;100.0;63.0;Radial;Ø10x12;+105 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214895336E3;3300.0;16.0;Radial;Ø16x20;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214839151E3;150.0;100.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214838471E3;470.0;63.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214833153E3;15000.0;6.3;Radial;Ø16x31;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214836681E3;680.0;25.0;Radial;Ø10x16;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214850222E3;2200.0;35.0;Radial;Ø16x25;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214868101E3;100.0;63.0;Radial;Ø10x12;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214895335E3;3300.0;16.0;Radial;Ø16x20;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214859151E3;150.0;100.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214895333E3;3300.0;16.0;Radial;Ø16x20;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214869151E3;150.0;100.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214868471E3;470.0;63.0;Radial;Ø12.5x20;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214863153E3;15000.0;6.3;Radial;Ø16x31;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214866681E3;680.0;25.0;Radial;Ø10x16;+105 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214830222E3;2200.0;35.0;Radial;Ø16x25;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214838101E3;100.0;63.0;Radial;Ø10x12;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214856332E3;3300.0;25.0;Radial;Ø16x25;+105 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214834152E3;1500.0;10.0;Radial;Ø10x16;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214864472E3;4700.0;10.0;Radial;Ø12.5x25;+105 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214839221E3;220.0;100.0;Radial;Ø12.5x25;+105 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
148 RUS;Enlarge;MAL214830681E3;680.0;35.0;Radial;Ø10x20;+105 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28315.png;Datasheet\capacitors\148 RUS\148 RUS.pdf;
