Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
150 CRZ;Enlarge;MAL215099904E3;33.0;100.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099913E3;470.0;100.0;SMD;18x18x21;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215097013E3;680.0;35.0;SMD;12.5x12.5x16;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099821E3;150.0;63.0;SMD;12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215097812E3;33.0;63.0;SMD;8x8x10;+105 °C;2500;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099501E3;470.0;16.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099013E3;680.0;35.0;SMD;12.5x12.5x16;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215097821E3;150.0;63.0;SMD;12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215097411E3;330.0;10.0;SMD;8x8x10;+105 °C;2500;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215097501E3;470.0;16.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099114E3;680.0;50.0;SMD;16x16x16;+105 °C;7000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099703E3;150.0;80.0;SMD;12.5x12.5x13;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099911E3;330.0;100.0;SMD;16x16x21;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099603E3;470.0;25.0;SMD;10x10x12;+105 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099902E3;10.0;100.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
150 CRZ;Enlarge;MAL215099819E3;680.0;63.0;SMD;18x18x21;+105 °C;7000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28395.png;Datasheet\capacitors\150 CRZ\150 CRZ.pdf;
