Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
150 RMI;Enlarge;MAL215034471E3;470.0;10.0;Radial;Ø8x12;+105 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215035152E3;1500.0;16.0;Radial;Ø12.5x20;+105 °C;7000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215055472E3;4700.0;16.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215090223E3;220.0;35.0;Radial;Ø8x15;+105 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215098686E3;680.0;63.0;Radial;Ø16x25;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215085331E3;330.0;16.0;Radial;Ø8x12;+105 °C;4000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215034102E3;1000.0;10.0;Radial;Ø10x16;+105 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215065471E3;470.0;16.0;Radial;Ø10x12;+105 °C;4000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215036152E3;1500.0;25.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
150 RMI;Enlarge;MAL215065472E3;4700.0;16.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28323.png;Datasheet\capacitors\150 RMI\150 RMI.pdf;
