Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
153 CRV;Enlarge;MAL215376339E3;33.0;25.0;SMD;6.3x6.3x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215370339E3;33.0;35.0;SMD;8x8x6.5;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371339E3;33.0;50.0;SMD;8x8x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215374331E3;330.0;10.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215376331E3;330.0;25.0;SMD;10x10x14;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371477E3;0.47;50.0;SMD;4x4x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215373331E3;330.0;6.3;SMD;8x8x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371108E3;1.0;50.0;SMD;4x4x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215370478E3;4.7;35.0;SMD;4x4x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215375109E3;10.0;16.0;SMD;4x4x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371478E3;4.7;50.0;SMD;5x5x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215370109E3;10.0;35.0;SMD;5x5x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215375479E3;47.0;16.0;SMD;6.3x6.3x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371109E3;10.0;50.0;SMD;6.3x6.3x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215376479E3;47.0;25.0;SMD;8x8x6.5;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215375101E3;100.0;16.0;SMD;8x8x6.5;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371479E3;47.0;50.0;SMD;8x8x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215376101E3;100.0;25.0;SMD;8x8x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215373479E3;47.0;6.3;SMD;5x5x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215375471E3;470.0;16.0;SMD;10x10x14;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371101E3;100.0;50.0;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215373471E3;470.0;6.3;SMD;10x10x10;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215373101E3;100.0;6.3;SMD;6.3x6.3x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215374681E3;680.0;10.0;SMD;10x10x14;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215378101E3;100.0;63.0;SMD;10x10x14;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215373102E3;1000.0;6.3;SMD;10x10x14;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371228E3;2.2;50.0;SMD;4x4x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215375229E3;22.0;16.0;SMD;5x5x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215370229E3;22.0;35.0;SMD;6.3x6.3x5.3;+105 °C;2000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
153 CRV;Enlarge;MAL215371229E3;22.0;50.0;SMD;8x8x6.5;+105 °C;3000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28388.png;Datasheet\capacitors\153 CRV\153 CRV.pdf;
