Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
157 PUM-SI;Enlarge;MAL215776471E3;470.0;400.0;Snap-In;Ø35x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215773221E3;220.0;250.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215777689E3;68.0;450.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215786271E3;270.0;400.0;Snap-In;Ø25x45;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215733102E3;1000.0;250.0;Snap-In;Ø30x45;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215752821E3;820.0;200.0;Snap-In;Ø35x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215772391E3;390.0;200.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215759151E3;150.0;500.0;Snap-In;Ø25x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215752391E3;390.0;200.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215779151E3;150.0;500.0;Snap-In;Ø25x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215756471E3;470.0;400.0;Snap-In;Ø35x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215753221E3;220.0;250.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215757689E3;68.0;450.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215766271E3;270.0;400.0;Snap-In;Ø25x45;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215713102E3;1000.0;250.0;Snap-In;Ø30x45;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215772821E3;820.0;200.0;Snap-In;Ø35x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215753821E3;820.0;250.0;Snap-In;Ø30x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215743391E3;390.0;250.0;Snap-In;Ø22x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215729151E3;150.0;500.0;Snap-In;Ø30x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215777471E3;470.0;450.0;Snap-In;Ø35x50;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215746221E3;220.0;400.0;Snap-In;Ø25x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215779689E3;68.0;500.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215736271E3;270.0;400.0;Snap-In;Ø30x35;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215753102E3;1000.0;250.0;Snap-In;Ø35x40;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215773821E3;820.0;250.0;Snap-In;Ø30x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215723391E3;390.0;250.0;Snap-In;Ø22x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215749151E3;150.0;500.0;Snap-In;Ø30x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215757471E3;470.0;450.0;Snap-In;Ø35x50;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215726221E3;220.0;400.0;Snap-In;Ø25x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215759689E3;68.0;500.0;Snap-In;Ø22x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215716271E3;270.0;400.0;Snap-In;Ø30x35;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215773102E3;1000.0;250.0;Snap-In;Ø35x40;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215783821E3;820.0;250.0;Snap-In;Ø35x35;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215773391E3;390.0;250.0;Snap-In;Ø30x25;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215722152E3;1500.0;200.0;Snap-In;Ø30x50;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215759471E3;470.0;500.0;Snap-In;Ø35x50;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215776221E3;220.0;400.0;Snap-In;Ø30x30;+85 °C;5000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215749689E3;68.0;500.0;Snap-In;Ø25x25;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
157 PUM-SI;Enlarge;MAL215756271E3;270.0;400.0;Snap-In;Ø35x30;+85 °C;5000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28338.png;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.pdf;Datasheet\capacitors\157 PUM-SI\157 PUM-SI.zip
