Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
160 CLA;Enlarge;MAL216099801E3;47.0;63.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099501E3;470.0;16.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099602E3;470.0;25.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099003E3;470.0;35.0;SMD;16x16x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099105E3;470.0;50.0;SMD;18x18x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099807E3;470.0;63.0;SMD;16x16x21;+150 °C;2000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099802E3;68.0;63.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099101E3;100.0;50.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099701E3;68.0;80.0;SMD;12.5x12.5x13;+150 °C;1000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099803E3;100.0;63.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099502E3;680.0;16.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099702E3;100.0;80.0;SMD;12.5x12.5x16;+150 °C;1000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099603E3;680.0;25.0;SMD;16x16x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099503E3;1000.0;16.0;SMD;16x16x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099604E3;1000.0;25.0;SMD;18x18x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099005E3;1000.0;35.0;SMD;16x16x21;+150 °C;2000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099107E3;1000.0;50.0;SMD;18x18x21;+150 °C;2000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099102E3;150.0;50.0;SMD;12.5x12.5x13;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099804E3;150.0;63.0;SMD;12.5x12.5x16;+150 °C;1250;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
160 CLA;Enlarge;MAL216099703E3;150.0;80.0;SMD;16x16x16;+150 °C;1500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28405.png;Datasheet\capacitors\160 CLA\160 CLA.pdf;
