Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
162/163 PLL-PW;Enlarge;MAL216256153E3;15000.0;25.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216258332E3;3300.0;63.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216257682E3;6800.0;40.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216358101E3;100.0;385.0;Solder Pin;Ø25x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216257153E3;15000.0;40.0;Solder Pin;Ø40x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216254333E3;33000.0;10.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216258682E3;6800.0;63.0;Solder Pin;Ø40x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216356101E3;100.0;400.0;Solder Pin;Ø25x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216258153E3;15000.0;63.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216255333E3;33000.0;16.0;Solder Pin;Ø35x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216254683E3;68000.0;10.0;Solder Pin;Ø40x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216259102E3;1000.0;100.0;Solder Pin;Ø30x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216254154E3;150000.0;10.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216245333E3;33000.0;16.0;Solder Pin;Ø40x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216255683E3;68000.0;16.0;Solder Pin;Ø40x70;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216352102E3;1000.0;200.0;Solder Pin;Ø40x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216353102E3;1000.0;250.0;Solder Pin;Ø40x70;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216352221E3;220.0;200.0;Solder Pin;Ø25x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216256333E3;33000.0;25.0;Solder Pin;Ø40x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216256683E3;68000.0;25.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216358102E3;1000.0;385.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216353221E3;220.0;250.0;Solder Pin;Ø30x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216257333E3;33000.0;40.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216356102E3;1000.0;400.0;Solder Pin;Ø40x100;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216358221E3;220.0;385.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216259471E3;470.0;100.0;Solder Pin;Ø25x30;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216258102E3;1000.0;63.0;Solder Pin;Ø25x30;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216356221E3;220.0;400.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216352471E3;470.0;200.0;Solder Pin;Ø35x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216254103E3;10000.0;10.0;Solder Pin;Ø25x30;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216259222E3;2200.0;100.0;Solder Pin;Ø35x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216353471E3;470.0;250.0;Solder Pin;Ø35x50;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216255103E3;10000.0;16.0;Solder Pin;Ø25x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216249222E3;2200.0;100.0;Solder Pin;Ø40x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
162/163 PLL-PW;Enlarge;MAL216343471E3;470.0;250.0;Solder Pin;Ø40x40;+105 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28347.png;Datasheet\capacitors\162/163 PLL-PW\162/163 PLL-PW.pdf;
