Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
170 RVZ;Enlarge;MAL217066471E3;470.0;25.0;Radial;Ø10x16;+105 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217030102E3;1000.0;35.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217054681E3;680.0;10.0;Radial;Ø10x12;+105 °C;4000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217066152E3;1500.0;25.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217066682E3;6800.0;25.0;Radial;Ø18x40;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217060222E3;2200.0;35.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217036471E3;470.0;25.0;Radial;Ø10x16;+105 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217060102E3;1000.0;35.0;Radial;Ø12.5x25;+105 °C;8000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217034681E3;680.0;10.0;Radial;Ø10x12;+105 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217030152E3;1500.0;35.0;Radial;Ø16x20;+105 °C;7000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217065822E3;8200.0;16.0;Radial;Ø18x40;+105 °C;10000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
170 RVZ;Enlarge;MAL217050222E3;2200.0;35.0;Radial;Ø16x31;+105 °C;10000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28462.png;Datasheet\capacitors\170 RVZ\170 RVZ.pdf;
