Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
180 CPS;Enlarge;MAL218097505E3;150.0;16.0;SMD;8.4x8.4x6.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097405E3;470.0;10.0;SMD;10.4x10.4x7.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097701E3;150.0;4.0;SMD;5.3x5.3x5.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097509E3;470.0;16.0;SMD;10.4x10.4x12.6;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097259E3;1500.0;2.5;SMD;8.4x8.4x12;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097601E3;56.0;25.0;SMD;6.6x6.6x5.9;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097709E3;1500.0;4.0;SMD;8.4x8.4x12;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097254E3;560.0;2.5;SMD;6.6x6.6x5.9;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097309E3;1500.0;6.3;SMD;10.4x10.4x12.6;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097255E3;560.0;2.5;SMD;6.6x6.6x7.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097251E3;180.0;2.5;SMD;5.3x5.3x5.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097203E3;560.0;20.0;SMD;10.4x10.4x12.6;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097602E3;180.0;25.0;SMD;8.4x8.4x12;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097706E3;560.0;4.0;SMD;8.4x8.4x12;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097001E3;22.0;35.0;SMD;6.6x6.6x5.9;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
180 CPS;Enlarge;MAL218097705E3;560.0;4.0;SMD;8.4x8.4x6.7;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28415.png;Datasheet\capacitors\180 CPS\180 CPS.pdf;
