Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
181 CPL;Enlarge;MAL218197001E3;18.0;35.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197506E3;180.0;16.0;SMD;10.4x10.4x7.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197303E3;220.0;6.3;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197306E3;220.0;6.3;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197406E3;270.0;10.0;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197202E3;270.0;20.0;SMD;8.4x8.4x12;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197603E3;270.0;25.0;SMD;10.4x10.4x12.6;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197702E3;270.0;4.0;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197407E3;330.0;10.0;SMD;10.4x10.4x7.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197703E3;330.0;4.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197704E3;330.0;4.0;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197501E3;39.0;16.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197203E3;390.0;20.0;SMD;8.4x8.4x12;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197307E3;390.0;6.3;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197601E3;47.0;25.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197204E3;470.0;20.0;SMD;10.4x10.4x12.6;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197504E3;100.0;16.0;SMD;10.4x10.4x7.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197308E3;470.0;6.3;SMD;10.4x10.4x7.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197301E3;100.0;6.3;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197401E3;56.0;10.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197403E3;120.0;10.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197201E3;56.0;20.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197505E3;120.0;16.0;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197705E3;560.0;4.0;SMD;8.4x8.4x6.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197302E3;120.0;6.3;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197402E3;68.0;10.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197405E3;150.0;10.0;SMD;10.4x10.4x7.7;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
181 CPL;Enlarge;MAL218197502E3;68.0;16.0;SMD;6.6x6.6x5.9;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28417.png;Datasheet\capacitors\181 CPL\181 CPL.pdf;
