Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
183 CPHT;Enlarge;MAL218397811E3;150.0;63.0;SMD;10x10x16.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397101E3;10.0;50.0;SMD;5x5x5.8;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397801E3;10.0;63.0;SMD;6.3x6.3x5.8;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397603E3;100.0;25.0;SMD;6.3x6.3x7.7;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397105E3;100.0;50.0;SMD;10x10x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397106E3;120.0;50.0;SMD;10x10x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397004E3;150.0;35.0;SMD;8x8x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397001E3;22.0;35.0;SMD;5x5x5.8;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397102E3;22.0;50.0;SMD;6.3x6.3x5.8;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397802E3;22.0;63.0;SMD;6.3x6.3x7.7;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397806E3;22.0;80.0;SMD;8x8x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397604E3;220.0;25.0;SMD;8x8x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397005E3;270.0;35.0;SMD;10x10x10.5;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
183 CPHT;Enlarge;MAL218397601E3;33.0;25.0;SMD;5x5x5.8;+125 °C;4000;"""SMD, V-chip, Blister Tape on Reel""";Aluminum Polymer;image/capacitors\28434.png;Datasheet\capacitors\183 CPHT\183 CPHT.pdf;
