Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
193 PUR-SI Solar;Enlarge;MAL219390102E3;330.0;500.0;Snap-In;Ø35x40;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390132E3;330.0;570.0;Snap-In;Ø35x40;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390122E3;330.0;570.0;Snap-In;Ø35x40;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390113E3;390.0;500.0;Snap-In;Ø35x45;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390103E3;390.0;500.0;Snap-In;Ø35x45;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390123E3;390.0;570.0;Snap-In;Ø35x45;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390133E3;390.0;570.0;Snap-In;Ø35x45;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390114E3;470.0;500.0;Snap-In;Ø35x50;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390104E3;470.0;500.0;Snap-In;Ø35x50;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390124E3;470.0;570.0;Snap-In;Ø35x50;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390134E3;470.0;570.0;Snap-In;Ø35x50;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390115E3;560.0;500.0;Snap-In;Ø35x60;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390105E3;560.0;500.0;Snap-In;Ø35x60;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390125E3;560.0;570.0;Snap-In;Ø35x60;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390135E3;560.0;570.0;Snap-In;Ø35x60;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390101E3;220.0;500.0;Snap-In;Ø35x30;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390111E3;220.0;500.0;Snap-In;Ø35x30;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390131E3;220.0;570.0;Snap-In;Ø35x30;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390121E3;220.0;570.0;Snap-In;Ø35x30;+105 °C;6000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
193 PUR-SI Solar;Enlarge;MAL219390112E3;330.0;500.0;Snap-In;Ø35x40;+105 °C;6000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28407.png;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.pdf;Datasheet\capacitors\193 PUR-SI Solar\193 PUR-SI Solar.zip
