Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
220 EDLC ENYCAP™;Enlarge;MAL222090001E3;35000000;2.7;Radial;Ø18x31;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050006E3;20000000;2.7;Radial;Ø16x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222030006E3;20000000;2.7;Radial;Ø16x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222030001E3;35000000;2.7;Radial;Ø18x31;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222090004E3;20000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031001E3;40000000;2.7;Radial;Ø18x31;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222030004E3;20000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051001E3;40000000;2.7;Radial;Ø18x31;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050004E3;20000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222091001E3;40000000;2.7;Radial;Ø18x31;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031017E3;22000000;2.7;Radial;Ø12.5x40;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222030008E3;45000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051017E3;22000000;2.7;Radial;Ø12.5x40;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222090008E3;45000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031006E3;25000000;2.7;Radial;Ø16x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050008E3;45000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222091006E3;25000000;2.7;Radial;Ø16x25;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031011E3;5000000;2.7;Radial;Ø10x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051006E3;25000000;2.7;Radial;Ø16x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051011E3;5000000;2.7;Radial;Ø10x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222091004E3;25000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222091008E3;50000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031004E3;25000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031008E3;50000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051004E3;25000000;2.7;Radial;Ø18x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051008E3;50000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222030007E3;25000000;2.7;Radial;Ø18x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222090009E3;55000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050007E3;25000000;2.7;Radial;Ø18x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050009E3;55000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222090007E3;25000000;2.7;Radial;Ø18x25;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222091009E3;60000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222090002E3;30000000;2.7;Radial;Ø16x31;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051009E3;60000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222050002E3;30000000;2.7;Radial;Ø16x31;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222031012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
220 EDLC ENYCAP™;Enlarge;MAL222051012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28421.png;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.pdf;Datasheet\capacitors\220 EDLC ENYCAP™\220 EDLC ENYCAP™.zip
