Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
225 EDLC-R ENYCAP™;Enlarge;MAL222551007E3;30000000;2.7;Radial;Ø18x25;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591002E3;35000000;2.7;Radial;Ø16x31;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551002E3;35000000;2.7;Radial;Ø16x31;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531002E3;35000000;2.7;Radial;Ø16x31;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531001E3;40000000;2.7;Radial;Ø18x31;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551001E3;40000000;2.7;Radial;Ø18x31;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591001E3;40000000;2.7;Radial;Ø18x31;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551011E3;5000000;2.7;Radial;Ø10x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531011E3;5000000;2.7;Radial;Ø10x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531008E3;50000000;2.7;Radial;Ø18x35;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591008E3;50000000;2.7;Radial;Ø18x35;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551008E3;50000000;2.7;Radial;Ø18x35;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551013E3;10000000;2.7;Radial;Ø10x30;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551009E3;60000000;2.7;Radial;Ø18x40;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
