Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
230 EDLC-HV ENYCAP™;Enlarge;MAL223091006E3;25000000;3.0;Radial;Ø16x25;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031006E3;25000000;3.0;Radial;Ø16x25;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051006E3;25000000;3.0;Radial;Ø16x25;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051004E3;25000000;3.0;Radial;Ø18x20;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031004E3;25000000;3.0;Radial;Ø18x20;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223091004E3;25000000;3.0;Radial;Ø18x20;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051007E3;30000000;3.0;Radial;Ø18x25;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031007E3;30000000;3.0;Radial;Ø18x25;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223091007E3;30000000;3.0;Radial;Ø18x25;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223091002E3;35000000;3.0;Radial;Ø16x31;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223051002E3;35000000;3.0;Radial;Ø16x31;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
230 EDLC-HV ENYCAP™;Enlarge;MAL223031002E3;35000000;3.0;Radial;Ø16x31;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28450.png;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.pdf;Datasheet\capacitors\230 EDLC-HV ENYCAP™\230 EDLC-HV ENYCAP™.zip
