Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
246 CTI-V;Enlarge;MAL224699606E3;1500.0;25.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699011E3;1500.0;35.0;SMD;16x16x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699012E3;1800.0;35.0;SMD;18x18x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699908E3;220.0;100.0;SMD;16x16x21;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699909E3;220.0;100.0;SMD;18x18x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699708E3;220.0;80.0;SMD;16x16x16;+125 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699506E3;2200.0;16.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699607E3;2200.0;25.0;SMD;16x16x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699608E3;2200.0;25.0;SMD;18x18x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699609E3;2700.0;25.0;SMD;18x18x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699911E3;330.0;100.0;SMD;18x18x21;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699809E3;330.0;63.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699709E3;330.0;80.0;SMD;16x16x21;+125 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699711E3;330.0;80.0;SMD;18x18x16;+125 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699507E3;3300.0;16.0;SMD;16x16x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699508E3;3300.0;16.0;SMD;18x18x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699509E3;3900.0;16.0;SMD;18x18x21;+125 °C;6000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699108E3;470.0;50.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
246 CTI-V;Enlarge;MAL224699811E3;470.0;63.0;SMD;16x16x16;+125 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28424.png;Datasheet\capacitors\246 CTI-V\246 CTI-V.pdf;
