Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
246 RTI-V;Enlarge;MAL224690276E3;2700.0;35.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224655472E3;4700.0;16.0;Radial;Ø18x25;+125 °C;5000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224650182E3;1800.0;35.0;Radial;Ø16x25;+125 °C;5000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224665332E3;3300.0;16.0;Radial;Ø18x20;+125 °C;4000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224666472E3;4700.0;25.0;Radial;Ø16x35;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224630182E3;1800.0;35.0;Radial;Ø16x25;+125 °C;5000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224635332E3;3300.0;16.0;Radial;Ø18x20;+125 °C;4000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224656472E3;4700.0;25.0;Radial;Ø16x35;+125 °C;6000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224651182E3;1800.0;50.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224655332E3;3300.0;16.0;Radial;Ø18x20;+125 °C;4000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224696476E3;4700.0;25.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224691103E3;1000.0;50.0;Radial;Ø16x25;+125 °C;5000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224661182E3;1800.0;50.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
246 RTI-V;Enlarge;MAL224631182E3;1800.0;50.0;Radial;Ø18x31;+125 °C;6000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28422.png;Datasheet\capacitors\246 RTI-V\246 RTI-V.pdf;
