Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
250 CRZ-V;Enlarge;MAL225099517E3;3300.0;16.0;SMD;18x18x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099618E3;3300.0;25.0;SMD;18x18x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099913E3;470.0;100.0;SMD;18x18x21;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099817E3;470.0;63.0;SMD;16x16x21;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099818E3;470.0;63.0;SMD;18x18x16;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099706E3;470.0;80.0;SMD;16x16x21;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099707E3;470.0;80.0;SMD;18x18x16;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099416E3;4700.0;10.0;SMD;16x16x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099417E3;4700.0;10.0;SMD;18x18x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099518E3;4700.0;16.0;SMD;18x18x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099316E3;10000.0;6.3;SMD;18x18x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099014E3;1000.0;35.0;SMD;16x16x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099115E3;1000.0;50.0;SMD;16x16x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099116E3;1000.0;50.0;SMD;18x18x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099313E3;4700.0;6.3;SMD;16x16x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099615E3;1500.0;25.0;SMD;16x16x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099114E3;680.0;50.0;SMD;16x16x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099015E3;1500.0;35.0;SMD;16x16x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099819E3;680.0;63.0;SMD;18x18x21;+105 °C;2500;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099016E3;1500.0;35.0;SMD;18x18x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099708E3;680.0;80.0;SMD;18x18x21;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099418E3;6800.0;10.0;SMD;18x18x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099117E3;1500.0;50.0;SMD;18x18x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099314E3;6800.0;6.3;SMD;16x16x21;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099909E3;220.0;100.0;SMD;16x16x16;+105 °C;5000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099315E3;6800.0;6.3;SMD;18x18x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
250 CRZ-V;Enlarge;MAL225099515E3;2200.0;16.0;SMD;16x16x16;+105 °C;10000;"""SMD, V-chip, JEDEC compliant RoHS solderable, Blister Tape on Reel""";Aluminum Electrolytic;image/capacitors\28425.png;Datasheet\capacitors\250 CRZ-V\250 CRZ-V.pdf;
