Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
259 PHM-SI;Enlarge;MAL225983561E3;560.0;250.0;Snap-In;Ø25x40;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225927221E3;220.0;450.0;Snap-In;Ø30x35;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225942102E3;1000.0;200.0;Snap-In;Ø25x50;+105 °C;3000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225956681E3;680.0;400.0;Snap-In;Ø35x50;+105 °C;3000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225912331E3;330.0;200.0;Snap-In;Ø22x30;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225949121E3;120.0;500.0;Snap-In;Ø35x25;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225916391E3;390.0;400.0;Snap-In;Ø30x40;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225916181E3;180.0;400.0;Snap-In;Ø22x40;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225933561E3;560.0;250.0;Snap-In;Ø30x30;+105 °C;3000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225937221E3;220.0;450.0;Snap-In;Ø35x30;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225972102E3;1000.0;200.0;Snap-In;Ø30x35;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225917681E3;680.0;450.0;Snap-In;Ø35x60;+105 °C;3000;"""Large Can, 3-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225953331E3;330.0;250.0;Snap-In;Ø22x35;+105 °C;3000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
259 PHM-SI;Enlarge;MAL225932122E3;1200.0;200.0;Snap-In;Ø30x40;+105 °C;3000;"""Large Can, 2-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28441.png;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.pdf;Datasheet\capacitors\259 PHM-SI\259 PHM-SI.zip
