Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
260 RLA-V;Enlarge;MAL226031102E3;1000.0;50.0;Radial;Ø18x31;+150 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226031681E3;680.0;50.0;Radial;Ø16x25;+150 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226061102E3;1000.0;50.0;Radial;Ø18x31;+150 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226061681E3;680.0;50.0;Radial;Ø16x25;+150 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226051102E3;1000.0;50.0;Radial;Ø18x31;+150 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226051681E3;680.0;50.0;Radial;Ø16x25;+150 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226055152E3;1500.0;16.0;Radial;Ø18x20;+150 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226035152E3;1500.0;16.0;Radial;Ø18x20;+150 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226065152E3;1500.0;16.0;Radial;Ø18x20;+150 °C;2000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226056152E3;1500.0;25.0;Radial;Ø18x31;+150 °C;2000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
260 RLA-V;Enlarge;MAL226036152E3;1500.0;25.0;Radial;Ø18x31;+150 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors\28448.png;Datasheet\capacitors\260 RLA-V\260 RLA-V.pdf;
