Series;Product Image;Order Code;Cap (µF);Voltage(V);Form;Case Size;Temp Max(°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
299 PHL-4TSI;Enlarge;MAL229957561E3;560.0;450.0;Snap-In;Ø35x60;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229967561E3;560.0;450.0;Snap-In;Ø40x50;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229956681E3;680.0;400.0;Snap-In;Ø40x40;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229957681E3;680.0;450.0;Snap-In;Ø35x70;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229956821E3;820.0;400.0;Snap-In;Ø35x60;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229966821E3;820.0;400.0;Snap-In;Ø40x50;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229957821E3;820.0;450.0;Snap-In;Ø35x80;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229956102E3;1000.0;400.0;Snap-In;Ø35x70;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229967821E3;820.0;450.0;Snap-In;Ø40x60;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
299 PHL-4TSI;Enlarge;MAL229957102E3;1000.0;450.0;Snap-In;Ø35x100;+105 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors\28432.png;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.pdf;Datasheet\capacitors\299 PHL-4TSI\299 PHL-4TSI.zip
