Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;100 µF;6.3;550.0;4.0 x 2.8 x 2.2 (B);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;0.47 µF;35.0;4300.0;3.7 x 1.8 x 1.7 (A);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;0.68 µF;20.0;10800.0;2.2 x 1.1 x 1.4 (T);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;68 µF;10.0;240.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;2.2 µF;50.0;1700.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;6.8 µF;6.3;8500.0;2.2 x 1.1 x 1.4 (T);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;4.7 µF;25.0;680.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;33 µF;16.0;720.0;4.0 x 2.8 x 2.2 (B);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;1 mF;6.3;70.0;7.2 x 6.0 x 3.8 (R);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;22 µF;35.0;280.0;7.2 x 6.0 x 3.8 (R);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;150 µF;4.0;180.0;7.1 x 3.2 x 2.8 (C);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;68 µF;20.0;190.0;7.4 x 4.3 x 3.1 (D);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
595D;Enlarge;Tantalum, Solid;Surface Mount;Conformal Coated;330 µF;10.0;130.0;7.2 x 6.0 x 3.8 (R);image/capacitors\40007.png;Datasheet\capacitors\595D\595D.pdf;Datasheet\capacitors\595D\595D.zip
