Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;10.0;5500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;25.0;3500.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;4.0;2200.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.47 µF;20.0;14000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;35.0;1300.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.47 µF;25.0;14000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;4.0;8000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;50.0;2000.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;15.0;5000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;35.0;6500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.0;1100.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;50.0;7000.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;15.0;12000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.15 µF;35.0;21000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;6.0;5500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;20.0;3000.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;4500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;2500.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;4.0;1100.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;20.0;12000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.1 µF;50.0;22000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
CWR11;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;25.0;7500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40011.png;Datasheet\capacitors\CWR11\CWR11.pdf;
