Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;240 µF;125.0;800.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;1.5 mF;50.0;350.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;1.2 mF;75.0;800.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;3.3 mF;30.0;350.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;10 mF;10.0;250.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;1.8 mF;60.0;500.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;2.2 mF;50.0;600.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;100.0;3000.0;11.51 x 4.78 (T1);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;2.8 mF;35.0;350.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;3.3 mF;16.0;350.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
