Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735122000;Polyester;RFI X/Y;Axial;1,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735122900;Polyester;RFI X/Y;Axial;1,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735122901;Polyester;RFI X/Y;Axial;1,2µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735152901;Polyester;RFI X/Y;Axial;1,5µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735152900;Polyester;RFI X/Y;Axial;1,5µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735152000;Polyester;RFI X/Y;Axial;1,5µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735182900;Polyester;RFI X/Y;Axial;1,8µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735182000;Polyester;RFI X/Y;Axial;1,8µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735182901;Polyester;RFI X/Y;Axial;1,8µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735102901;Polyester;RFI X/Y;Axial;1µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735102000;Polyester;RFI X/Y;Axial;1µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17735102900;Polyester;RFI X/Y;Axial;1µF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734102901;Polyester;RFI X/Y;Axial;100nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734102000;Polyester;RFI X/Y;Axial;100nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734102900;Polyester;RFI X/Y;Axial;100nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733102901;Polyester;RFI X/Y;Axial;10nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733102900;Polyester;RFI X/Y;Axial;10nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733102000;Polyester;RFI X/Y;Axial;10nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734122900;Polyester;RFI X/Y;Axial;120nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734122901;Polyester;RFI X/Y;Axial;120nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734122000;Polyester;RFI X/Y;Axial;120nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733122901;Polyester;RFI X/Y;Axial;12nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733122900;Polyester;RFI X/Y;Axial;12nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733122000;Polyester;RFI X/Y;Axial;12nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734152900;Polyester;RFI X/Y;Axial;150nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
