Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y231030MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;10nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y231230MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;12nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y231530MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;15nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y231830MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;18nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y232230MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;22nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y232730MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;27nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y233330MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;33nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y233930MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;39nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y234730MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;47nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
F340Y2 305VAC;Enlarge;F340 - Y2 - IEC60384-14 Humidity Robustness Grade IIIB - AEC-Q200 Automotive Grade;F340Y235630MFI2B0;Polypropylene;RFI X/Y;Radial Boxed;56nF;20;VacY2;305;15.0;image/capacitors\26066.png;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.pdf;Datasheet\capacitors\F340Y2 305VAC\F340Y2 305VAC.zip
