Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;22 µF;50.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;820 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;120 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;39 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;27 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;470 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;68 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;100 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;2.7 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;68 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;33 µF;35.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;27 µF;50.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;1 mF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;150 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;150 µF;15.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;330 µF;6.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;56 µF;20.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;560 µF;10.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
M39003/03;Enlarge;Tantalum, Solid;Through Hole;Axial;1.2 µF;50.0;;;image/capacitors\40157.png;Datasheet\capacitors\M39003/03\M39003/03.pdf;
