Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;82 µF;50.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;2.2 mF;6.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;22 µF;25.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;75.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;2.5 µF;100.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;20 µF;10.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;680 µF;25.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;125.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;170 µF;15.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;60.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;15 µF;75.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
M39006/09, M39006/21;Enlarge;Tantalum, Wet;Through Hole;Axial;25 µF;8.0;;;image/capacitors\40159.png;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.pdf;Datasheet\capacitors\M39006/09, M39006/21\M39006/09, M39006/21.zip
