Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51025JK2;Polypropylene;AC Filtering;Radial Boxed;1µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51025KK2;Polypropylene;AC Filtering;Radial Boxed;1µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51031JK2;Polypropylene;AC Filtering;Radial Boxed;1µF;10;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51031KK2;Polypropylene;AC Filtering;Radial Boxed;1µF;5;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51035JK2;Polypropylene;AC Filtering;Radial Boxed;1µF;10;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H51035KK2;Polypropylene;AC Filtering;Radial Boxed;1µF;5;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52025JK2;Polypropylene;AC Filtering;Radial Boxed;2µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52025KK2;Polypropylene;AC Filtering;Radial Boxed;2µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52031JK2;Polypropylene;AC Filtering;Radial Boxed;2µF;10;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52031KK2;Polypropylene;AC Filtering;Radial Boxed;2µF;5;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52035JK2;Polypropylene;AC Filtering;Radial Boxed;2µF;10;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52035KK2;Polypropylene;AC Filtering;Radial Boxed;2µF;5;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53025JK2;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53025KK2;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53031JK2;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53031KK2;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53035JK2;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53035KK2;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54025JK2;Polypropylene;AC Filtering;Radial Boxed;4µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54025KK2;Polypropylene;AC Filtering;Radial Boxed;4µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54031JK2;Polypropylene;AC Filtering;Radial Boxed;4µF;10;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54031KK2;Polypropylene;AC Filtering;Radial Boxed;4µF;5;Vac;310;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54035JK2;Polypropylene;AC Filtering;Radial Boxed;4µF;10;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H54035KK2;Polypropylene;AC Filtering;Radial Boxed;4µF;5;Vac;350;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H55025JK2;Polypropylene;AC Filtering;Radial Boxed;5µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H55025KK2;Polypropylene;AC Filtering;Radial Boxed;5µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H56025JK2;Polypropylene;AC Filtering;Radial Boxed;6µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H56025KK2;Polypropylene;AC Filtering;Radial Boxed;6µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H57025JK2;Polypropylene;AC Filtering;Radial Boxed;7µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H57025KK2;Polypropylene;AC Filtering;Radial Boxed;7µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H58025JK2;Polypropylene;AC Filtering;Radial Boxed;8µF;10;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H58025KK2;Polypropylene;AC Filtering;Radial Boxed;8µF;5;Vac;250;27.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52048JP2;Polypropylene;AC Filtering;Radial Boxed;2µF;10;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52048JP4;Polypropylene;AC Filtering;Radial Boxed;2µF;10;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52048KP2;Polypropylene;AC Filtering;Radial Boxed;2µF;5;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H52048KP4;Polypropylene;AC Filtering;Radial Boxed;2µF;5;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048JP2;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048JP4;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048JP5;Polypropylene;AC Filtering;Radial Boxed;3µF;10;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048KP2;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048KP4;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H53048KP5;Polypropylene;AC Filtering;Radial Boxed;3µF;5;Vac;480;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
MKP1847H AC Filtering;Enlarge;MKP1847H - AC Filtering - THB: 85 °C / 85 % RH 1000 h at UNAC;MKP1847H55031JP2;Polypropylene;AC Filtering;Radial Boxed;5µF;10;Vac;310;37.5;image/capacitors\26067.png;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.pdf;Datasheet\capacitors\MKP1847H AC Filtering\MKP1847H AC Filtering.zip
