Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51010JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;1000;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51012JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;1200;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51050JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;500;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51060JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;600;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51080JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;800;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C51090JK2;Polypropylene;DC-Link;Radial Boxed;1µF;5;Vdc;900;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61010JP2;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1000;37.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61010JP4;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1000;37.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61012JP4;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1200;37.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61012JP2;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1200;37.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61012JY2;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1200;52.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61012JY4;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;1200;52.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
MKP1848C DC-Link;Enlarge;MKP1848C - Compact&Economic DC-Link;MKP1848C61050JK2;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;500;27.5;image/capacitors\26015.png;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.pdf;Datasheet\capacitors\MKP1848C DC-Link\MKP1848C DC-Link.zip
