Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se54050JK2A;Polypropylene;DC-Link;Radial Boxed;4µF;5;Vdc;500;27.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se54050KK2A;Polypropylene;DC-Link;Radial Boxed;4µF;10;Vdc;500;27.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se57050JK2B;Polypropylene;DC-Link;Radial Boxed;7µF;5;Vdc;500;27.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se57050KK2B;Polypropylene;DC-Link;Radial Boxed;7µF;10;Vdc;500;27.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050JP2B;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050JP2C;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050JP4B;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050JP4C;Polypropylene;DC-Link;Radial Boxed;10µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050KP2B;Polypropylene;DC-Link;Radial Boxed;10µF;10;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050KP2C;Polypropylene;DC-Link;Radial Boxed;10µF;10;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050KP4B;Polypropylene;DC-Link;Radial Boxed;10µF;10;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61050KP4C;Polypropylene;DC-Link;Radial Boxed;10µF;10;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61550JP2B;Polypropylene;DC-Link;Radial Boxed;15µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
MKP1848Se DC-Link;Enlarge;MKP1848Se - AEC-Q200 DC-Link Low Building Height - THB: 60°C / 93% R.H. / 56 days at UNDC;MKP1848Se61550JP2C;Polypropylene;DC-Link;Radial Boxed;15µF;5;Vdc;500;37.5;image/capacitors\26082.png;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.pdf;Datasheet\capacitors\MKP1848Se DC-Link\MKP1848Se DC-Link.zip
