Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016W;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016F;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016G;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016D;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016V;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515016;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015F;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014F;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014G;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014V;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014W;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015D;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515014D;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015W;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015V;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515015G;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;100;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515254G;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;250;22.5;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515256MV;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;250;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515256V;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;250;22.5;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515254MV;Polyester;DC;Radial Boxed;1,5µF;5;Vdc;250;15.0;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515256G;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;250;22.5;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515256;Polyester;DC;Radial Boxed;1,5µF;20;Vdc;250;22.5;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
MKT1820;Enlarge;MKT1820 - AEC-Q200 High Performance;MKT1820515255V;Polyester;DC;Radial Boxed;1,5µF;10;Vdc;250;22.5;image/capacitors\26011.png;Datasheet\capacitors\MKT1820\MKT1820.pdf;
