Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238630125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238633125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238631125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238632125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238623125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238620125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238622125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238621125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238602125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238601125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238603125;Polypropylene;Snubber;Radial Boxed;1,2µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238600125;Polypropylene;Snubber;Radial Boxed;1,2µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238630155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238631155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238633155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238632155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238622155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238623155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238621155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238620155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238601155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238600155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238602155;Polypropylene;Snubber;Radial Boxed;1,5µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238603155;Polypropylene;Snubber;Radial Boxed;1,5µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238630185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238631185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238632185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238633185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238621185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238620185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238622185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238623185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;630;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238603185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238601185;Polypropylene;Snubber;Radial Boxed;1,8µF;5;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238600185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238602185;Polypropylene;Snubber;Radial Boxed;1,8µF;10;Vdc;850;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238633105;Polypropylene;Snubber;Radial Boxed;1µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238631105;Polypropylene;Snubber;Radial Boxed;1µF;5;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
MMKP 386;Enlarge;MMKP386 - Double Metalized Snubber;BFC238632105;Polypropylene;Snubber;Radial Boxed;1µF;10;Vdc;1000;27.5;image/capacitors\28163.png;Datasheet\capacitors\MMKP 386\MMKP 386.pdf;
