Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;1.5 mF;15.0;600.0;19.46 x 10.31 (T3);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;1 mF;10.0;800.0;16.28 x 7.92 (T2);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;6.0;900.0;11.51 x 5.56 (T1);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;2.7 mF;15.0;400.0;26.97 x 10.31 (T4);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;2.2 mF;10.0;500.0;19.46 x 10.31 (T3);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;1.5 mF;6.0;700.0;16.28 x 7.92 (T2);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;3.3 mF;10.0;400.0;26.97 x 10.31 (T4);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;3.3 mF;6.0;500.0;19.46 x 10.31 (T3);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;150 µF;15.0;1100.0;11.51 x 5.56 (T1);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;4.7 mF;6.0;300.0;26.97 x 10.31 (T4);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;680 µF;15.0;800.0;16.28 x 7.92 (T2);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
STA;Enlarge;Tantalum, Wet;Through Hole;Axial;330 µF;10.0;1000.0;11.51 x 5.56 (T1);image/capacitors\43013.png;Datasheet\capacitors\STA\STA.pdf;Datasheet\capacitors\STA\STA.zip
