Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;1.2 mF;60.0;500.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;50.0;900.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;18 µF;125.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;1.2 mF;16.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;60.0;1500.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;35.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;86 µF;100.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;680 µF;10.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;4 mF;25.0;350.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;660 µF;75.0;700.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;1 mF;50.0;500.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;3.3 mF;16.0;350.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;1.8 mF;60.0;500.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;520 µF;50.0;1000.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;56 µF;125.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;60.0;900.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;680 µF;35.0;950.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;100.0;1400.0;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;2 mF;10.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
STE;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;30.0;;;image/capacitors\43009.png;Datasheet\capacitors\STE\STE.pdf;Datasheet\capacitors\STE\STE.zip
