Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T58;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;6.3;200;3.2 x 1.6 x 1 (A0);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;6.3;500;1.6 x 0.85 x 0.9 (MM);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;4.7 µF;25.0;500;2.0 x 1.25 x 1 (W0);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;8.2;500;2.0 x 1.25 x 1 (W0);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;6.3;300;1.6 x 0.85 x 0.9 (MM);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25.0;150;3.5 x 2.8 x 2 (BB);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;8.2;300;2.0 x 1.25 x 1 (W0);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;6.3;500;2.0 x 1.25 x 0.9 (W9);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;22 µF;25.0;100;3.5 x 2.8 x 2 (BB);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;10.0;175;3.2 x 1.6 x 1 (A0);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;300;2.0 x 1.25 x 0.9 (W9);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;1 µF;35.0;500;2.0 x 1.25 x 0.9 (W9);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;6.3;500;1.6 x 0.85 x 0.9 (MM);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;200;3.5 x 2.8 x 2 (BB);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;6.3;200;2.0 x 1.25 x 0.9 (W9);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;6.3;300;1.6 x 0.85 x 0.9 (MM);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
T58;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;90;3.5 x 2.8 x 2 (BB);image/capacitors\40189.png;Datasheet\capacitors\T58\T58.pdf;Datasheet\capacitors\T58\T58.zip
