Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;700.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1400.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;1600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;400.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1000.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;1400.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;6.3;1800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;600.0;7.3 x 4.3 x 4.3 (E);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;800.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;500.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;6.3;1500.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;35.0;500.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;600.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;800.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;50.0;900.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;800.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
TH4;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;10.0;1800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40152.png;Datasheet\capacitors\TH4\TH4.pdf;Datasheet\capacitors\TH4\TH4.zip
