Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;10.0;600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;25.0;5000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;50.0;600.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;20.0;5500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;35.0;1300.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;4.0;2000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;16.0;8000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;25.0;1200.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;3000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
TL3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;20.0;200.0;7.3 x 4.3 x 3.1 (D);image/capacitors\40154.png;Datasheet\capacitors\TL3\TL3.pdf;Datasheet\capacitors\TL3\TL3.zip
