Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;6.3;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;4.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;16.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;2.5;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;6.3;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;4.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;16.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;2.5;;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;10.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;6.3;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;16.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;4.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;10.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;2.5;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;6.3;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;4.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;20.0;27500.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;10.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;2.5;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;6.3;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;4.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
TMCJ;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;2.5;10000.0;1.6 x 0.8 x 0.9 (J);image/capacitors\40176.png;Datasheet\capacitors\TMCJ\TMCJ.pdf;
