Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;6.3;1700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;35.0;2800.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;2.5;1800.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;600.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;10.0;1700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;4.0;300.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;25.0;2200.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;2.5;1100.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;1700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
TMCM;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;6.3;600.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40178.png;Datasheet\capacitors\TMCM\TMCM.pdf;
