Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;25.0;300.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;10.0;100.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;7.0;600.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;500.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;20.0;500.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;150 µF;7.0;100.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;35.0;500.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;250.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;25.0;300.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
TMCR;Enlarge;Tantalum, Solid;Surface Mount;Molded;220 µF;10.0;100.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40181.png;Datasheet\capacitors\TMCR\TMCR.pdf;
