Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;2.5;1800.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;25.0;16500.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;6.3;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;16.0;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;35.0;6600.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;10.0;4000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;20.0;4000.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;4.0;1700.0;3.5 x 2.8 x 1.2 (UB);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.15 µF;35.0;40000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;6.3;2900.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;20.0;7700.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
TMCU;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;4.0;3000.0;3.2 x 1.6 x 1.2 (UA);image/capacitors\40180.png;Datasheet\capacitors\TMCU\TMCU.pdf;
