Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;5000.0;2.05 x 1.35 x 1.6 (R);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;25.0;10000.0;2.05 x 1.35 x 1.6 (R);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;10.0;12000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;20.0;8000.0;2.05 x 1.35 x 1.6 (R);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;16.0;12000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;6000.0;2.4 x 1.45 x 1.2 (P);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;10.0;6000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;20.0;6000.0;2.4 x 1.45 x 1.2 (P);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;6000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;40.0;10000.0;2.4 x 1.45 x 1.2 (P);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;10.0;8000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;6000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;20.0;6000.0;3.5 x 2.8 x 2 (B);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;8000.0;2.05 x 1.35 x 1.6 (R);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;6.3;6000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;2000.0;3.5 x 2.8 x 2 (B);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;10.0;8000.0;2.00 x 1.25 x 1.2 (W);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;20.0;6000.0;3.5 x 2.8 x 1.2 (N);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;6.3;5000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;20.0;12000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;10.0;1000.0;3.5 x 2.8 x 1.6 (T);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;10.0;8000.0;2.05 x 1.35 x 1.6 (R);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;20.0;3000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;6.3;3000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;20.0;8000.0;2.00 x 1.25 x 1.2 (W);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
TP8;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;16.0;12000.0;1.60 x 0.85 x 0.9 (M);image/capacitors\40151.png;Datasheet\capacitors\TP8\TP8.pdf;
