Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;20.0;;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;25.0;;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;20.0;;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;20.0;700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;47 µF;16.0;1700.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;25.0;1300.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;16.0;1100.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;25.0;2300.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;1900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;20.0;2100.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;100 µF;16.0;1700.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;25.0;2200.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;20.0;1000.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;25.0;1200.0;6.0 x 3.2 x 2.8 (C);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
TX3;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;16.0;1800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40283.png;Datasheet\capacitors\TX3\TX3.pdf;Datasheet\capacitors\TX3\TX3.zip
