Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50.0;100 pF;10 nF;BR;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50.0;100 pF;8.2 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50.0;390 nF;470 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;1 pF;680 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;1 pF;2.2 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;10 pF;180 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;22 pF;150 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;51 pF;1 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;100 pF;100 nF;BR;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;100 pF;56 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;120 pF;4.7 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;220 pF;270 pF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;330 pF;1 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;470 pF;18 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;1 nF;3.3 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;1.2 nF;3.3 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;2.2 nF;10 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;3.9 nF;22 nF;BX;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100.0;4.7 nF;22 nF;BP;image\capacitors\45026.png;Datasheet\capacitors\CDR-MIL-PRF-55681\CDR-MIL-PRF-55681.pdf;
