Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;50.0;10 nF;33 nF;X8R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;50.0;10 nF;220 nF;X8R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;100.0;10 nF;150 nF;X7R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;100.0;10 nF;100 nF;X8R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;200.0;100 pF;1 nF;C0G (NP0);image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;500.0;100 pF;3.9 nF;C0G (NP0);image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;630.0;100 pF;8.2 nF;C0G (NP0);image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;630.0;100 pF;12 nF;C0G (NP0);image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;200.0;10 nF;470 nF;X7R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;630.0;10 nF;180 nF;X7R;image\capacitors\45254.png;Datasheet\capacitors\GA....31G Automotive Extended Bending MLCC\GA....31G Automotive Extended Bending MLCC.pdf;
