Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;50.0;1 nF;220 nF;X8R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;50.0;10 nF;220 nF;X8R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100.0;22 pF;220 pF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100.0;120 pF;33 nF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100.0;330 pF;6.8 nF;X8R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100.0;470 pF;33 nF;X8R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100.0;470 pF;100 nF;X8R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;200.0;56 pF;1 nF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;200.0;330 pF;150 nF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;250.0;330 pF;470 nF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;500.0;100 pF;3.9 nF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;630.0;100 pF;8.2 nF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;630.0;100 pF;12 nF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;630.0;220 pF;1.0 uF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;630.0;390 pF;1.0 uF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;630.0;10 nF;1.0 uF;X7R;image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
GA....34G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;3000.0;33 pF;22 nF;C0G (NP0);image\capacitors\45073.png;Datasheet\capacitors\GA....34G Automotive MLCC\GA....34G Automotive MLCC.pdf;
