Series;Product Image;Type;Technology;Description;Mounting;Voltage(V);Capacitance (min.);Capacitance (max.);Dielectric;Image path;Datasheet part;3d model part
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500.0;10 pF;120 pF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500.0;33 nF;220 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500.0;100 nF;560 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000.0;10 pF;120 pF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000.0;270 pF;4.7 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000.0;390 pF;10 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;3000.0;27 pF;220 pF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;4000.0;330 pF;56 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000.0;15 pF;1.8 nF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000.0;15 pF;2.2 nF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000.0;33 pF;2.2 nF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000.0;47 pF;3.3 nF;C0G (NP0);image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000.0;47 pF;18 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000.0;150 pF;27 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000.0;330 pF;82 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000.0;470 pF;100 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;8000.0;470 pF;390 nF;X7R;image\capacitors\45228.png;Datasheet\capacitors\HV High Voltage Series\HV High Voltage Series.pdf;
